gauge_id,redundant
3103,TRUE
4019,TRUE
4031,TRUE
8006,TRUE
3109,TRUE
3087,TRUE
12026,TRUE
5002,TRUE
7014,TRUE
4060,TRUE
13017,TRUE
8034,TRUE
3008,TRUE
3072,TRUE
12046,TRUE
4054,TRUE
7007,TRUE
4016,TRUE
4021,TRUE
3075,TRUE
4062,TRUE
12035,TRUE
4004,TRUE
5012,TRUE
3071,TRUE
8035,TRUE
3028,TRUE
7011,TRUE
6006,TRUE
9012,TRUE
11001,TRUE
3043,TRUE
8038,TRUE
13007,TRUE
5008,TRUE
3029,TRUE
4040,TRUE
10008,TRUE
3057,TRUE
4038,TRUE
8013,TRUE
13025,TRUE
4026,TRUE
17024,TRUE
6008,TRUE
3094,TRUE
3030,TRUE
4006,TRUE
8029,TRUE
13004,TRUE
3048,TRUE
16007,TRUE
3031,TRUE
5018,TRUE
15016,TRUE
11006,TRUE
15026,TRUE
